url,page_type,primary_intent,secondary_intent,commercial_value,buyer_stage,primary_cta,rfq_present,capability_proof,trust_proof,internal_commercial_links,ads_suitable,organic_suitable,content_render,conversion_risk,recommended_action
/am60b-magnesium-alloy-die-casting-suppliers/,Material,Commercial / Service,Capability,Medium,Consideration,Request a Quote (link to /contact/),BROKEN – form escaped (&lt;form),"present-in-source (5000T,IATF16949,ISO9001,XRAY,CNC,HPDC)","present-in-source (IATF16949,ISO9001,XRAY)",11,NO – content escaped,NO – content escaped,ESCAPED (body not rendered),P0 – content escaped + RFQ form broken (P.4 regression),FIX P0 render+form before any CRO/ADS; then revisit per-intent CRO
/automotive-cnc-machining-equipment-list/,Industry,Commercial / Industry,Application,Medium,Consideration,Request a Quote (link to /contact/),BROKEN – form escaped (&lt;form),"present-in-source (5000T,IATF16949,ISO9001,PPAP,XRAY,tol_0_01)","present-in-source (IATF16949,ISO9001,PPAP,XRAY)",0,NO – content escaped,NO – content escaped,ESCAPED (body not rendered),P0 – content escaped + RFQ form broken (P.4 regression),FIX P0 render+form before any CRO/ADS; then revisit per-intent CRO
/automotive-die-casting-parts/,Industry,Commercial / Industry,Application,Medium,Consideration,Request a Quote (link to /contact/),CTA link only,"present-in-source (5000T,IATF16949,XRAY,21years,tol_0_01,CNC)","present-in-source (IATF16949,XRAY,21years)",1,NO – content escaped,NO – content escaped,ESCAPED (body not rendered),P0 – content escaped + RFQ form broken (P.4 regression),FIX P0 render+form before any CRO/ADS; then revisit per-intent CRO
/az91d-magnesium-die-casting-automotive-parts/,Material,Commercial / Service,Capability,Medium,Consideration,Request a Quote (link to /contact/),BROKEN – form escaped (&lt;form),"present-in-source (5000T,IATF16949,ISO9001,XRAY,tol_0_01,CNC)","present-in-source (IATF16949,ISO9001,XRAY)",10,NO – content escaped,NO – content escaped,ESCAPED (body not rendered),P0 – content escaped + RFQ form broken (P.4 regression),FIX P0 render+form before any CRO/ADS; then revisit per-intent CRO
/categories/,Other,Commercial / Informational,Mixed,Low,Awareness,Request a Quote (link to /contact/),CTA link only,"present-in-source (CNC,magnesium,semi_solid)",none,0,Potential,Potential,OK,P0 – content escaped + RFQ form broken (P.4 regression),FIX P0 render+form before any CRO/ADS; then revisit per-intent CRO
/cold-chamber-die-casting-services/,Service,Commercial / Service,Capability,High,Consideration,Request a Quote (link to /contact/),BROKEN – form escaped (&lt;form),"present-in-source (5000T,1600T,3500T,IATF16949,ISO9001,XRAY)","present-in-source (IATF16949,ISO9001,XRAY)",16,NO – content escaped,NO – content escaped,ESCAPED (body not rendered),P0 – content escaped + RFQ form broken (P.4 regression),FIX P0 render+form before any CRO/ADS; then revisit per-intent CRO
/contact/,Contact,Transaction / RFQ,Contact,High,Decision,Request a Quote (link to /contact/),BROKEN – form escaped (&lt;form),"present-in-source (5000T,IATF16949,XRAY,CNC,HPDC,magnesium)","present-in-source (IATF16949,XRAY)",0,NO – content escaped,NO – content escaped,ESCAPED (body not rendered),P0 – content escaped + RFQ form broken (P.4 regression),FIX P0 render+form before any CRO/ADS; then revisit per-intent CRO
/custom-aluminum-die-casting-for-ev-powertrain-components/,Industry,Commercial / Industry,Application,Medium,Consideration,Request a Quote (link to /contact/),BROKEN – form escaped (&lt;form),"present-in-source (5000T,IATF16949,ISO9001,XRAY,tol_0_01,CNC)","present-in-source (IATF16949,ISO9001,XRAY)",11,NO – content escaped,NO – content escaped,ESCAPED (body not rendered),P0 – content escaped + RFQ form broken (P.4 regression),FIX P0 render+form before any CRO/ADS; then revisit per-intent CRO
/die-cast-aluminum-electric-motor-housing-suppliers/,Industry,Commercial / Industry,Application,Medium,Consideration,Request a Quote (link to /contact/),BROKEN – form escaped (&lt;form),"present-in-source (5000T,IATF16949,ISO9001,XRAY,CNC,HPDC)","present-in-source (IATF16949,ISO9001,XRAY)",20,NO – content escaped,NO – content escaped,ESCAPED (body not rendered),P0 – content escaped + RFQ form broken (P.4 regression),FIX P0 render+form before any CRO/ADS; then revisit per-intent CRO
/die-casting-tooling/,Capability,Commercial / Capability,Process,Medium,Consideration,Request a Quote (link to /contact/),CTA link only,"present-in-source (5000T,IATF16949,ISO9001,XRAY,CNC,HPDC)","present-in-source (IATF16949,ISO9001,XRAY)",6,NO – content escaped,NO – content escaped,ESCAPED (body not rendered),P0 – content escaped + RFQ form broken (P.4 regression),FIX P0 render+form before any CRO/ADS; then revisit per-intent CRO
/ev-battery-housing-die-casting/,Industry,Commercial / Industry,Application,Medium,Consideration,Request a Quote (link to /contact/),CTA link only,"present-in-source (5000T,IATF16949,ISO9001,XRAY,CNC,HPDC)","present-in-source (IATF16949,ISO9001,XRAY)",1,NO – content escaped,NO – content escaped,ESCAPED (body not rendered),P0 – content escaped + RFQ form broken (P.4 regression),FIX P0 render+form before any CRO/ADS; then revisit per-intent CRO
/explosion-proof-aluminum-enclosures-oil-gas-industry/,Application,Commercial / Informational,Mixed,Low,Awareness,Request a Quote (link to /contact/),BROKEN – form escaped (&lt;form),"present-in-source (5000T,IATF16949,XRAY,CNC,HPDC,magnesium)","present-in-source (IATF16949,XRAY)",12,NO – content escaped,NO – content escaped,ESCAPED (body not rendered),P0 – content escaped + RFQ form broken (P.4 regression),FIX P0 render+form before any CRO/ADS; then revisit per-intent CRO
/gravity-die-casting-manufacturer/,Service,Commercial / Service,Capability,High,Consideration,Request a Quote (link to /contact/),CTA link only,"present-in-source (5000T,IATF16949,XRAY,CNC,HPDC,magnesium)","present-in-source (IATF16949,XRAY)",9,NO – content escaped,NO – content escaped,ESCAPED (body not rendered),P0 – content escaped + RFQ form broken (P.4 regression),FIX P0 render+form before any CRO/ADS; then revisit per-intent CRO
/high-pressure-die-casting-process-quality/,Quality,Commercial / Quality proof,Trust,Medium,Consideration,Request a Quote (link to /contact/),BROKEN – form escaped (&lt;form),"present-in-source (5000T,XRAY,CNC,HPDC,magnesium,semi_solid)",present-in-source (XRAY),1,NO – content escaped,NO – content escaped,ESCAPED (body not rendered),P0 – content escaped + RFQ form broken (P.4 regression),FIX P0 render+form before any CRO/ADS; then revisit per-intent CRO
/high-tolerance-automotive-cnc-machining/,Industry,Commercial / Industry,Application,Medium,Consideration,Request a Quote (link to /contact/),BROKEN – form escaped (&lt;form),"present-in-source (5000T,IATF16949,PPAP,XRAY,tol_0_01,CNC)","present-in-source (IATF16949,PPAP,XRAY)",4,NO – content escaped,NO – content escaped,ESCAPED (body not rendered),P0 – content escaped + RFQ form broken (P.4 regression),FIX P0 render+form before any CRO/ADS; then revisit per-intent CRO
/hot-chamber-vs-cold-chamber-aluminum-die-casting-myth/,Article,Informational / Educational,Topical authority,Low-Medium,Awareness,Request a Quote (link to /contact/),BROKEN – form escaped (&lt;form),"present-in-source (5000T,IATF16949,CNC,HPDC,magnesium,semi_solid)",present-in-source (IATF16949),4,NO – content escaped,NO – content escaped,ESCAPED (body not rendered),P0 – content escaped + RFQ form broken (P.4 regression),FIX P0 render+form before any CRO/ADS; then revisit per-intent CRO
/iatf-16949-high-tolerance-automotive-cnc-machining-supplier/,Article,Informational / Educational,Topical authority,Low-Medium,Awareness,Request a Quote (link to /contact/),BROKEN – form escaped (&lt;form),"present-in-source (5000T,IATF16949,PPAP,XRAY,tol_0_01,CNC)","present-in-source (IATF16949,PPAP,XRAY)",1,NO – content escaped,NO – content escaped,ESCAPED (body not rendered),P0 – content escaped + RFQ form broken (P.4 regression),FIX P0 render+form before any CRO/ADS; then revisit per-intent CRO
/large-scale-5000t-aluminum-die-casting-factory-china/,Capability,Commercial / Capability,Process,Medium,Consideration,Request a Quote (link to /contact/),CTA link only,"present-in-source (5000T,IATF16949,ISO9001,XRAY,CNC,HPDC)","present-in-source (IATF16949,ISO9001,XRAY)",8,NO – content escaped,NO – content escaped,ESCAPED (body not rendered),P0 – content escaped + RFQ form broken (P.4 regression),FIX P0 render+form before any CRO/ADS; then revisit per-intent CRO
/liquid-cooled-aluminum-cooling-plates-for-electric-vehicles/,Industry,Commercial / Industry,Application,Medium,Consideration,Request a Quote (link to /contact/),BROKEN – form escaped (&lt;form),"present-in-source (5000T,IATF16949,ISO9001,XRAY,tol_0_01,CNC)","present-in-source (IATF16949,ISO9001,XRAY)",14,NO – content escaped,NO – content escaped,ESCAPED (body not rendered),P0 – content escaped + RFQ form broken (P.4 regression),FIX P0 render+form before any CRO/ADS; then revisit per-intent CRO
/magnesium-die-casting-services/,Service,Commercial / Service,Capability,High,Consideration,Request a Quote (link to /contact/),CTA link only,"present-in-source (5000T,IATF16949,ISO9001,XRAY,CNC,HPDC)","present-in-source (IATF16949,ISO9001,XRAY)",14,NO – content escaped,NO – content escaped,ESCAPED (body not rendered),P0 – content escaped + RFQ form broken (P.4 regression),FIX P0 render+form before any CRO/ADS; then revisit per-intent CRO
/manufacturing-capabilities/,Capability,Commercial / Capability,Process,Medium,Consideration,Request a Quote (link to /contact/),CTA link only,"present-in-source (160T,5000T,630T,IATF16949,ISO9001,XRAY)","present-in-source (IATF16949,ISO9001,XRAY)",10,NO – content escaped,NO – content escaped,ESCAPED (body not rendered),P0 – content escaped + RFQ form broken (P.4 regression),FIX P0 render+form before any CRO/ADS; then revisit per-intent CRO
/maximum-wall-thickness-projected-area-limits-5000t-die-casting/,Capability,Commercial / Capability,Process,Medium,Consideration,Request a Quote (link to /contact/),BROKEN – form escaped (&lt;form),"present-in-source (5000T,IATF16949,ISO9001,XRAY,CNC,HPDC)","present-in-source (IATF16949,ISO9001,XRAY)",10,NO – content escaped,NO – content escaped,ESCAPED (body not rendered),P0 – content escaped + RFQ form broken (P.4 regression),FIX P0 render+form before any CRO/ADS; then revisit per-intent CRO
/medical-device-component-machining/,Industry,Commercial / Industry,Application,Medium,Consideration,Request a Quote (link to /contact/),BROKEN – form escaped (&lt;form),"present-in-source (XRAY,CNC,HPDC,magnesium,semi_solid)",present-in-source (XRAY),9,NO – content escaped,NO – content escaped,ESCAPED (body not rendered),P0 – content escaped + RFQ form broken (P.4 regression),FIX P0 render+form before any CRO/ADS; then revisit per-intent CRO
/porosity-control-x-ray-inspection-castings/,Quality,Commercial / Quality proof,Trust,Medium,Consideration,Request a Quote (link to /contact/),CTA link only,"present-in-source (IATF16949,ISO9001,PPAP,XRAY,CNC,HPDC)","present-in-source (IATF16949,ISO9001,PPAP,XRAY)",0,NO – content escaped,NO – content escaped,ESCAPED (body not rendered),P0 – content escaped + RFQ form broken (P.4 regression),FIX P0 render+form before any CRO/ADS; then revisit per-intent CRO
/precision-cnc-machining/,Capability,Commercial / Capability,Process,Medium,Consideration,Request a Quote (link to /contact/),CTA link only,"present-in-source (5000T,IATF16949,ISO9001,XRAY,CNC,HPDC)","present-in-source (IATF16949,ISO9001,XRAY)",12,NO – content escaped,NO – content escaped,ESCAPED (body not rendered),P0 – content escaped + RFQ form broken (P.4 regression),FIX P0 render+form before any CRO/ADS; then revisit per-intent CRO
/precision-die-casting-medical-equipment/,Industry,Commercial / Industry,Application,Medium,Consideration,Request a Quote (link to /contact/),BROKEN – form escaped (&lt;form),"present-in-source (PPAP,XRAY,CNC,HPDC,magnesium,semi_solid)","present-in-source (PPAP,XRAY)",4,NO – content escaped,NO – content escaped,ESCAPED (body not rendered),P0 – content escaped + RFQ form broken (P.4 regression),FIX P0 render+form before any CRO/ADS; then revisit per-intent CRO
/sand-casting-services/,Service,Commercial / Service,Capability,High,Consideration,Request a Quote (link to /contact/),BROKEN – form escaped (&lt;form),"present-in-source (5000T,IATF16949,XRAY,CNC,HPDC,magnesium)","present-in-source (IATF16949,XRAY)",6,NO – content escaped,NO – content escaped,ESCAPED (body not rendered),P0 – content escaped + RFQ form broken (P.4 regression),FIX P0 render+form before any CRO/ADS; then revisit per-intent CRO
/semi-solid-die-casting-heat-treatable-aluminum/,Material,Commercial / Service,Capability,Medium,Consideration,Request a Quote (link to /contact/),BROKEN – form escaped (&lt;form),"present-in-source (XRAY,CNC,HPDC,magnesium,semi_solid)",present-in-source (XRAY),0,NO – content escaped,NO – content escaped,ESCAPED (body not rendered),P0 – content escaped + RFQ form broken (P.4 regression),FIX P0 render+form before any CRO/ADS; then revisit per-intent CRO
/services/,Service,Commercial / Service,Capability,High,Consideration,Request a Quote (link to /contact/),CTA link only,"present-in-source (5000T,IATF16949,ISO9001,XRAY,CNC,HPDC)","present-in-source (IATF16949,ISO9001,XRAY)",13,NO – content escaped,NO – content escaped,ESCAPED (body not rendered),P0 – content escaped + RFQ form broken (P.4 regression),FIX P0 render+form before any CRO/ADS; then revisit per-intent CRO
/stainless-steel-precision-machining/,Capability,Commercial / Capability,Process,Medium,Consideration,Request a Quote (link to /contact/),BROKEN – form escaped (&lt;form),"present-in-source (5000T,IATF16949,XRAY,CNC,HPDC,magnesium)","present-in-source (IATF16949,XRAY)",7,NO – content escaped,NO – content escaped,ESCAPED (body not rendered),P0 – content escaped + RFQ form broken (P.4 regression),FIX P0 render+form before any CRO/ADS; then revisit per-intent CRO
/surface-finishing-aluminum-magnesium-casting/,Capability,Commercial / Capability,Process,Medium,Consideration,Request a Quote (link to /contact/),BROKEN – form escaped (&lt;form),"present-in-source (CNC,HPDC,magnesium,semi_solid)",none,0,NO – content escaped,NO – content escaped,ESCAPED (body not rendered),P0 – content escaped + RFQ form broken (P.4 regression),FIX P0 render+form before any CRO/ADS; then revisit per-intent CRO
/tags/,Other,Commercial / Informational,Mixed,Low,Awareness,Request a Quote (link to /contact/),CTA link only,"present-in-source (CNC,magnesium,semi_solid)",none,0,Potential,Potential,OK,P0 – content escaped + RFQ form broken (P.4 regression),FIX P0 render+form before any CRO/ADS; then revisit per-intent CRO
/thin-wall-die-casting-tooling/,Capability,Commercial / Capability,Process,Medium,Consideration,Request a Quote (link to /contact/),BROKEN – form escaped (&lt;form),"present-in-source (tol_0_01,CNC,HPDC,magnesium,semi_solid)",none,0,NO – content escaped,NO – content escaped,ESCAPED (body not rendered),P0 – content escaped + RFQ form broken (P.4 regression),FIX P0 render+form before any CRO/ADS; then revisit per-intent CRO
/thixocasting-vs-rheocasting-comparison/,Article,Informational / Educational,Topical authority,Low-Medium,Awareness,Request a Quote (link to /contact/),BROKEN – form escaped (&lt;form),"present-in-source (IATF16949,XRAY,CNC,HPDC,magnesium,semi_solid)","present-in-source (IATF16949,XRAY)",1,NO – content escaped,NO – content escaped,ESCAPED (body not rendered),P0 – content escaped + RFQ form broken (P.4 regression),FIX P0 render+form before any CRO/ADS; then revisit per-intent CRO
/vacuum-assisted-die-casting-vs-conventional-hpdc-air-tightness/,Quality,Commercial / Quality proof,Trust,Medium,Consideration,Request a Quote (link to /contact/),CTA link only,"present-in-source (5000T,IATF16949,ISO9001,XRAY,CNC,HPDC)","present-in-source (IATF16949,ISO9001,XRAY)",6,NO – content escaped,NO – content escaped,ESCAPED (body not rendered),P0 – content escaped + RFQ form broken (P.4 regression),FIX P0 render+form before any CRO/ADS; then revisit per-intent CRO
/zinc-die-casting-services/,Service,Commercial / Service,Capability,High,Consideration,Request a Quote (link to /contact/),BROKEN – form escaped (&lt;form),"present-in-source (5000T,IATF16949,XRAY,CNC,HPDC,magnesium)","present-in-source (IATF16949,XRAY)",12,NO – content escaped,NO – content escaped,ESCAPED (body not rendered),P0 – content escaped + RFQ form broken (P.4 regression),FIX P0 render+form before any CRO/ADS; then revisit per-intent CRO
